,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions,prompt_length,prompt_word_count,custom_score_100,custom_grade,rank_band,has_keywords,keyword_count,keyword_density
7373,code,build recommendation engine thing not working,low,46,F,0.79,2,2,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,45,6,27.01,F,Very Poor,0,0,0.0
7374,image,"Role: Professional graphic designer specializing in education visuals.
Task: Create an image depicting build recommendation engine.
Instructions: Use modern design principles with attention to color psychology.
Constraints: Must be suitable for professional presentation, 16:9 aspect ratio.
Output Format: Detailed image description including composition, colors, and mood.",high,98,A,0.08,4,5,4,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,377,46,89.82,A,Excellent,0,0,0.0
7375,data_analysis,"Role: Business intelligence analyst for research operations.
Task: Create a dashboard specification for tracking write technical documentation.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,90,A,0.21,5,5,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,375,41,84.56,B,Good,0,0,0.0
7376,document,Draft document explaining create social media strategy to real estate audience.,medium,84,B,0.43,4,4,4,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,79,11,61.01,C,Average,1,1,0.09090909090909091
7377,code,"Create a script for create user authentication system. Requirements: efficient, documented, tested.",medium,80,B,0.44,2,4,2,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,99,12,53.42,D,Poor,0,0,0.0
7378,code,code for implement payment processing,low,51,F,0.68,2,1,2,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,37,5,28.54,F,Very Poor,1,1,0.2
7379,data_analysis,Review create employee onboarding materials metrics for retail performance. Find trends.,medium,71,C,0.36,2,3,3,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,88,11,48.23,D,Poor,0,0,0.0
7380,post,"Role: Social media manager for design brands.
Task: Create a LinkedIn post about analyze market trends.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,95,A,0.21,4,4,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,329,45,84.45,B,Good,1,1,0.022222222222222223
7381,code,code for design email newsletter template,low,50,F,0.8,2,1,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,41,6,26.88,F,Very Poor,1,1,0.16666666666666666
7382,code,"Role: Technical lead for manufacturing applications.
Task: Design a system architecture for generate monthly sales reports.
Context: This is for a mid-scale enterprise with 10k daily users.
Constraints: Must be scalable, secure, and cost-effective.
Output Format: Architecture diagram description + component list + implementation roadmap.",high,97,A,0.23,5,4,5,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,343,45,79.57,B,Good,1,1,0.022222222222222223
7383,email,"Role: Professional copywriter for transportation communications.
Task: Write a cold outreach email for write product launch announcement.
Instructions: Personalized opening, clear value proposition, soft CTA.
Constraints: Under 150 words, professional but approachable tone.
Output Format: Subject line options + email body + follow-up sequence.",high,95,A,0.23,4,5,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,349,44,87.78,A,Excellent,0,0,0.0
7384,other,Strategy for develop security protocols in customer service context. Recommendations needed.,medium,81,B,0.38,3,3,3,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,92,11,55.03,C,Average,0,0,0.0
7385,presentation,Need a deck on create policy compliance guide for marketing conference. 10 slides max.,medium,82,B,0.46,2,3,4,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,86,14,49.55,D,Poor,0,0,0.0
7386,document,write about implement payment processing,low,45,F,0.61,2,1,1,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,40,5,29.36,F,Very Poor,0,0,0.0
7387,email,"Role: Executive assistant supporting sales leadership.
Task: Write a meeting request email for write executive briefing.
Context: Scheduling with 5 senior stakeholders across time zones.
Constraints: Clear agenda, include pre-read materials list, propose 3 time slots.
Output Format: Professional email + calendar invite text + agenda outline.",high,96,A,0.19,4,4,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,347,47,77.1,B,Good,1,1,0.02127659574468085
7388,document,Draft document explaining create policy compliance guide to sales audience.,medium,74,C,0.45,3,4,4,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,75,10,60.41,C,Average,1,1,0.1
7389,data_analysis,Review write executive briefing metrics for retail performance. Find trends.,medium,84,B,0.37,3,4,2,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,76,10,51.62,D,Poor,0,0,0.0
7390,post,Create content about analyze supply chain efficiency for retail blog. Informative but casual.,medium,78,C,0.42,3,3,3,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,93,13,50.37,D,Poor,1,1,0.07692307692307693
7391,image,Design something for build data pipeline. Should be modern and appealing for legal audience.,medium,77,C,0.34,2,2,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,92,14,48.37,D,Poor,0,0,0.0
7392,post,"Role: Social media manager for sales brands.
Task: Create a LinkedIn post about develop content calendar.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,95,A,0.14,4,5,5,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,331,45,83.32,B,Good,0,0,0.0
7393,image,develop risk assessment framework visual,low,25,F,0.85,2,1,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,40,5,26.19,F,Very Poor,0,0,0.0
7394,image,picture of design logo and brand identity,low,46,F,0.83,1,1,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,41,7,23.86,F,Very Poor,0,0,0.0
7395,data_analysis,Data task: design marketing campaign visuals analysis for product management report.,medium,65,D,0.35,3,3,2,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,84,11,55.69,C,Average,0,0,0.0
7396,presentation,"Role: Training facilitator for entertainment programs.
Task: Design a workshop presentation on create vendor evaluation criteria.
Instructions: Include interactive elements and discussion prompts.
Constraints: 45-minute session, accommodate 20 participants.
Output Format: Slide deck outline + facilitator guide + handout content.",high,94,A,0.23,4,4,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,334,40,75.45,B,Good,0,0,0.0
7397,creative,"Role: Scriptwriter for education entertainment.
Task: Write dialogue for a scene where implement payment processing.
Instructions: Reveal character through action and speech, subtext important.
Constraints: 2 characters, 2-page max, natural speech patterns.
Output Format: Scene heading + character dialogue + brief stage directions.",high,97,A,0.06,5,5,4,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,337,43,86.21,A,Excellent,0,0,0.0
7398,video,make build data pipeline video,low,38,F,0.65,2,1,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,30,5,25.77,F,Very Poor,0,0,0.0
7399,post,"Role: Content creator for transportation communities.
Task: Write a Twitter thread about analyze product usage metrics.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,98,A,0.08,5,5,4,4,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,318,42,89.76,A,Excellent,1,1,0.023809523809523808
7400,video,Script needed for design webinar presentation video. Educational content for nonprofit beginners.,medium,72,C,0.46,3,2,4,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,97,12,56.31,C,Average,0,0,0.0
7401,presentation,analyze supply chain efficiency talk slides,low,61,D,0.91,1,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,43,6,25.4,F,Very Poor,1,1,0.16666666666666666
7402,email,"Role: Professional copywriter for operations communications.
Task: Write a cold outreach email for create budget proposal.
Instructions: Personalized opening, clear value proposition, soft CTA.
Constraints: Under 150 words, professional but approachable tone.
Output Format: Subject line options + email body + follow-up sequence.",high,88,B,0.2,5,5,5,4,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,334,43,89.04,A,Excellent,0,0,0.0
7403,email,"Role: Executive assistant supporting product management leadership.
Task: Write a meeting request email for create competitor analysis.
Context: Scheduling with 5 senior stakeholders across time zones.
Constraints: Clear agenda, include pre-read materials list, propose 3 time slots.
Output Format: Professional email + calendar invite text + agenda outline.",high,94,A,0.19,5,4,5,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,362,48,85.22,A,Excellent,1,1,0.020833333333333332
7404,video,"Role: Corporate video director for media communications.
Task: Plan a promotional video showcasing generate financial forecasts.
Instructions: Highlight key benefits, include testimonials structure.
Constraints: 90 seconds maximum, professional tone.
Output Format: Concept summary + shot list + script outline.",high,90,A,0.19,5,4,5,5,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,315,39,89.31,A,Excellent,1,2,0.05128205128205128
7405,data_analysis,design webinar presentation numbers,low,32,F,0.63,2,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,35,4,32.32,F,Very Poor,0,0,0.0
7406,image,I need visuals showing automate data entry processes. These are for a engineering presentation.,medium,79,C,0.48,2,2,4,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,95,14,48.9,D,Poor,1,1,0.07142857142857142
7407,creative,"Role: Creative writer specializing in marketing narratives.
Task: Write a short story opening (500 words) about create employee onboarding materials.
Instructions: Establish compelling protagonist, hint at conflict, set tone.
Constraints: Third-person limited perspective, contemporary setting.
Output Format: Story excerpt + character brief + potential plot directions.",high,85,B,0.16,5,4,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,374,46,82.31,B,Good,0,0,0.0
7408,email,create stakeholder communication plan correspondence,low,45,F,0.7,1,2,2,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,52,5,31.36,F,Very Poor,0,0,0.0
7409,post,Post needed: write product launch announcement update for marketing followers.,medium,73,C,0.41,4,4,3,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,78,10,57.9,C,Average,0,0,0.0
7410,image,Design something for design email newsletter template. Should be modern and appealing for marketing audience.,medium,81,B,0.49,3,3,4,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,109,15,58.97,C,Average,0,0,0.0
7411,code,code for create user survey questions,low,59,F,0.79,1,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,37,6,27.06,F,Very Poor,1,1,0.16666666666666666
7412,creative,Creative content needed: analyze supply chain efficiency theme for strategy publication.,medium,70,C,0.55,3,3,3,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,88,11,47.07,D,Poor,1,1,0.09090909090909091
7413,email,Email needed: analyze market trends proposal for finance prospect.,medium,75,C,0.39,4,3,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,66,9,54.55,D,Poor,1,1,0.1111111111111111
7414,email,"Role: Customer success manager in education industry.
Task: Draft a response to a customer complaint about analyze employee satisfaction data.
Instructions: Empathetic, solution-focused, reinforce relationship.
Constraints: Acknowledge issue, provide timeline, offer compensation if appropriate.
Output Format: Email draft + internal escalation notes.",high,90,A,0.09,4,4,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,355,42,80.79,B,Good,1,1,0.023809523809523808
7415,video,develop quality assurance checklist movie,low,30,F,0.65,2,1,2,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,41,5,32.0,F,Very Poor,1,1,0.2
7416,data_analysis,Analyze data on generate financial forecasts for nonprofit insights. Charts and summary.,medium,72,C,0.48,4,3,4,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,88,12,55.82,C,Average,1,1,0.08333333333333333
7417,image,Design something for design webinar presentation. Should be modern and appealing for real estate audience.,medium,69,D,0.42,2,4,3,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,106,15,57.69,C,Average,0,0,0.0
7418,creative,creative analyze website traffic patterns,low,37,F,0.91,1,2,1,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,41,5,25.39,F,Very Poor,1,1,0.2
7419,image,"Role: Digital artist with expertise in strategy imagery.
Task: Generate a series of 5 images showing create policy compliance guide.
Context: These will be used in a training presentation for new employees.
Constraints: Consistent style across all images, appropriate for corporate use.
Output Format: Description for each image with style specifications.",high,91,A,0.2,4,4,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,359,51,76.55,B,Good,1,1,0.0196078431372549
7420,code,"Role: Technical lead for energy applications.
Task: Design a system architecture for write grant proposal.
Context: This is for a mid-scale enterprise with 10k daily users.
Constraints: Must be scalable, secure, and cost-effective.
Output Format: Architecture diagram description + component list + implementation roadmap.",high,87,B,0.07,5,5,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,326,44,90.37,A,Excellent,1,1,0.022727272727272728
7421,presentation,Need a deck on write grant proposal for product management conference. 10 slides max.,medium,67,D,0.38,3,3,2,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,85,14,54.87,D,Poor,0,0,0.0
7422,post,create budget proposal announcement,low,38,F,0.79,2,2,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,35,4,29.87,F,Very Poor,0,0,0.0
7423,other,Outline approach to write job description for engineering initiative.,medium,84,B,0.32,2,4,3,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,69,9,56.9,C,Average,0,0,0.0
7424,post,write design email newsletter template update,low,44,F,0.6,1,1,1,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,45,6,26.38,F,Very Poor,0,0,0.0
7425,creative,"Role: Creative writer specializing in transportation narratives.
Task: Write a short story opening (500 words) about design webinar presentation.
Instructions: Establish compelling protagonist, hint at conflict, set tone.
Constraints: Third-person limited perspective, contemporary setting.
Output Format: Story excerpt + character brief + potential plot directions.",high,98,A,0.13,4,5,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,370,45,87.94,A,Excellent,0,0,0.0
7426,creative,"Role: Scriptwriter for finance entertainment.
Task: Write dialogue for a scene where create crisis management protocol.
Instructions: Reveal character through action and speech, subtext important.
Constraints: 2 characters, 2-page max, natural speech patterns.
Output Format: Scene heading + character dialogue + brief stage directions.",high,87,B,0.15,4,5,4,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,340,44,86.92,A,Excellent,0,0,0.0
7427,data_analysis,Examine write job description patterns in retail dataset. Provide findings.,medium,70,C,0.37,2,4,4,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,75,10,63.04,C,Average,0,0,0.0
7428,video,video about create FAQ document,low,34,F,0.8,1,2,1,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,31,5,26.91,F,Very Poor,0,0,0.0
7429,code,"Role: Technical lead for consulting applications.
Task: Design a system architecture for analyze website traffic patterns.
Context: This is for a mid-scale enterprise with 10k daily users.
Constraints: Must be scalable, secure, and cost-effective.
Output Format: Architecture diagram description + component list + implementation roadmap.",high,86,B,0.16,4,4,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,342,45,86.52,A,Excellent,1,2,0.044444444444444446
7430,data_analysis,"Role: Research analyst in entertainment field.
Task: Perform comparative analysis of design logo and brand identity.
Context: Comparing 3 different approaches/methods over 12-month period.
Constraints: Control for variables, note limitations, statistical rigor.
Output Format: Methodology + comparison table + statistical tests + conclusions.",high,85,B,0.15,4,5,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,346,43,82.93,B,Good,0,0,0.0
7431,document,Draft document explaining write grant proposal to science audience.,medium,68,D,0.42,4,4,3,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,67,9,61.17,C,Average,1,1,0.1111111111111111
7432,data_analysis,build API integration data check,low,43,F,0.68,1,2,2,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,32,5,31.68,F,Very Poor,0,0,0.0
7433,other,Strategy for build chatbot for customer support in retail context. Recommendations needed.,medium,75,C,0.3,4,2,2,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,90,12,53.02,D,Poor,0,0,0.0
7434,post,social design marketing campaign visuals,low,28,F,0.67,1,2,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,40,5,28.84,F,Very Poor,0,0,0.0
7435,creative,creative create investor pitch materials,low,43,F,0.9,2,1,2,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,40,5,27.99,F,Very Poor,0,0,0.0
7436,document,"Role: Policy writer for real estate organizations.
Task: Draft a policy document regarding create budget proposal.
Context: Must align with industry regulations and best practices.
Constraints: Formal tone, legally compliant language.
Output Format: Policy statement + scope + procedures + compliance requirements.",high,97,A,0.05,5,5,5,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,318,42,100.0,A,Excellent,0,0,0.0
7437,report,findings on analyze churn rate factors,low,36,F,0.81,1,1,1,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,38,6,23.97,F,Very Poor,1,1,0.16666666666666666
7438,video,develop project timeline footage needed,low,51,F,0.67,1,1,1,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,39,5,22.57,F,Very Poor,0,0,0.0
7439,other,"Role: Product manager for marketing solutions.
Task: Write product requirements for develop project timeline.
Instructions: User stories, acceptance criteria, prioritization.
Constraints: MVP scope, 3-month development cycle.
Output Format: PRD with user stories + feature list + success metrics.",high,87,B,0.13,4,5,5,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,300,38,92.16,A,Excellent,1,1,0.02631578947368421
7440,other,Strategy for analyze churn rate factors in retail context. Recommendations needed.,medium,78,C,0.31,3,2,2,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,82,11,45.19,D,Poor,1,1,0.09090909090909091
7441,data_analysis,"Role: Research analyst in sales field.
Task: Perform comparative analysis of design event invitation.
Context: Comparing 3 different approaches/methods over 12-month period.
Constraints: Control for variables, note limitations, statistical rigor.
Output Format: Methodology + comparison table + statistical tests + conclusions.",high,91,A,0.08,5,4,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,331,41,85.24,A,Excellent,0,0,0.0
7442,video,make create policy compliance guide video,low,63,D,0.76,1,1,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,41,6,24.55,F,Very Poor,0,0,0.0
7443,creative,Draft narrative about develop quality assurance checklist set in hospitality world.,medium,75,C,0.48,4,3,3,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,83,11,59.09,C,Average,1,1,0.09090909090909091
7444,document,Write documentation for analyze product usage metrics in customer service setting. Clear and thorough.,medium,65,D,0.43,4,2,3,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,102,14,49.92,D,Poor,1,1,0.07142857142857142
7445,creative,Write creative piece about analyze customer feedback patterns in government context. Engaging style.,medium,66,D,0.45,4,2,2,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,100,13,49.25,D,Poor,1,1,0.07692307692307693
7446,image,make image write grant proposal,low,32,F,0.88,1,1,2,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,31,5,25.81,F,Very Poor,0,0,0.0
7447,video,"Role: Educational video scriptwriter focusing on healthcare.
Task: Write a script for an instructional video explaining create vendor evaluation criteria.
Context: Target audience is beginners with no prior knowledge.
Constraints: Maximum 5 minutes, simple language, include visual cues.
Output Format: Two-column script (visual | audio) with timing markers.",high,91,A,0.12,4,5,4,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,362,48,79.67,B,Good,1,1,0.020833333333333332
7448,code,"Role: Senior developer specializing in technology systems.
Task: Debug and optimize the following code that build automated testing suite.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,92,A,0.25,4,5,5,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,371,48,86.91,A,Excellent,1,2,0.041666666666666664
7449,report,"Role: Senior analyst for transportation research.
Task: Write an executive summary for a report on design logo and brand identity.
Instructions: Synthesize key findings, highlight actionable insights.
Constraints: Maximum 2 pages, data-backed claims only.
Output Format: Executive summary + key findings + recommendations.",high,92,A,0.12,4,4,4,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,326,43,83.74,B,Good,0,0,0.0
7450,presentation,Create slides about analyze website traffic patterns for energy stakeholders. Include key points.,medium,70,C,0.32,2,2,4,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,97,13,52.96,D,Poor,1,1,0.07692307692307693
7451,presentation,"Role: Training facilitator for real estate programs.
Task: Design a workshop presentation on generate monthly sales reports.
Instructions: Include interactive elements and discussion prompts.
Constraints: 45-minute session, accommodate 20 participants.
Output Format: Slide deck outline + facilitator guide + handout content.",high,90,A,0.08,4,4,4,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,329,41,80.97,B,Good,0,0,0.0
7452,code,"Role: Technical lead for media applications.
Task: Design a system architecture for design logo and brand identity.
Context: This is for a mid-scale enterprise with 10k daily users.
Constraints: Must be scalable, secure, and cost-effective.
Output Format: Architecture diagram description + component list + implementation roadmap.",high,90,A,0.17,4,5,4,5,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,335,46,86.09,A,Excellent,1,1,0.021739130434782608
7453,presentation,"Role: Training facilitator for agriculture programs.
Task: Design a workshop presentation on write product launch announcement.
Instructions: Include interactive elements and discussion prompts.
Constraints: 45-minute session, accommodate 20 participants.
Output Format: Slide deck outline + facilitator guide + handout content.",high,89,B,0.06,4,4,4,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,332,40,77.32,B,Good,0,0,0.0
7454,other,Develop framework for build data pipeline in finance environment.,medium,82,B,0.41,4,4,3,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,65,9,61.49,C,Average,0,0,0.0
7455,code,analyze market trends thing not working,low,63,D,0.81,2,2,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,39,6,26.74,F,Very Poor,1,1,0.16666666666666666
7456,presentation,"Role: Sales enablement specialist in environment sector.
Task: Build a pitch deck for write product launch announcement.
Context: Presenting to C-level executives at Fortune 500 company.
Constraints: 8 slides max, focus on ROI and business impact.
Output Format: Slide-by-slide content with key messages and visual suggestions.",high,93,A,0.1,5,5,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,331,46,88.93,A,Excellent,1,1,0.021739130434782608
7457,code,"Role: Technical lead for legal applications.
Task: Design a system architecture for build API integration.
Context: This is for a mid-scale enterprise with 10k daily users.
Constraints: Must be scalable, secure, and cost-effective.
Output Format: Architecture diagram description + component list + implementation roadmap.",high,95,A,0.17,5,5,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,326,44,94.48,A,Excellent,1,1,0.022727272727272728
7458,data_analysis,data analyze supply chain efficiency,low,58,F,0.84,2,1,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,36,5,23.6,F,Very Poor,1,1,0.2
7459,creative,creative create competitor analysis,low,58,F,0.79,2,2,2,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,35,4,32.6,F,Very Poor,0,0,0.0
7460,code,"Role: Technical lead for marketing applications.
Task: Design a system architecture for analyze customer feedback patterns.
Context: This is for a mid-scale enterprise with 10k daily users.
Constraints: Must be scalable, secure, and cost-effective.
Output Format: Architecture diagram description + component list + implementation roadmap.",high,85,B,0.09,4,5,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,343,45,85.29,A,Excellent,1,2,0.044444444444444446
7461,image,Generate images about write product launch announcement. Use appropriate colors for consulting industry.,medium,68,D,0.45,3,4,2,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,104,13,53.09,D,Poor,0,0,0.0
7462,video,Create storyboard: create budget proposal in government context. Professional quality.,medium,77,C,0.55,4,2,2,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,86,10,46.74,D,Poor,0,0,0.0
7463,document,Create policy on create user authentication system for environment compliance. Formal language.,medium,68,D,0.53,4,2,3,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,95,12,47.4,D,Poor,0,0,0.0
7464,image,"Role: Digital artist with expertise in research imagery.
Task: Generate a series of 5 images showing create budget proposal.
Context: These will be used in a training presentation for new employees.
Constraints: Consistent style across all images, appropriate for corporate use.
Output Format: Description for each image with style specifications.",high,96,A,0.08,4,4,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,351,50,81.16,B,Good,1,1,0.02
7465,code,"Role: Senior developer specializing in marketing systems.
Task: Debug and optimize the following code that analyze website traffic patterns.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,87,B,0.12,4,4,5,4,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,373,48,83.93,B,Good,1,3,0.0625
7466,video,design event invitation footage needed,low,32,F,0.74,2,1,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,38,5,24.74,F,Very Poor,0,0,0.0
7467,data_analysis,stats on develop quality assurance checklist,low,42,F,0.91,2,1,2,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,44,6,25.37,F,Very Poor,1,1,0.16666666666666666
7468,email,Draft message regarding write technical documentation for marketing team. Clear and concise.,medium,65,D,0.48,3,3,3,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,92,12,55.71,C,Average,0,0,0.0
7469,data_analysis,Examine design event invitation patterns in retail dataset. Provide findings.,medium,83,B,0.51,3,2,3,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,77,10,47.94,D,Poor,0,0,0.0
7470,post,Post needed: develop content calendar update for customer service followers.,medium,81,B,0.41,4,3,3,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,76,10,61.34,C,Average,0,0,0.0
7471,document,develop mobile responsiveness fix writeup,low,50,F,0.84,1,2,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,41,5,26.36,F,Very Poor,0,0,0.0
